Data Log

TimeStamp,Voltage,Current,Temperature
2023-04-04 16:24:36.292,19381,392,26.4
2023-04-04 16:24:39.045,19385,420,26.4
2023-04-04 16:24:40.305,19386,442,26.4
2023-04-04 16:24:43.060,19390,466,26.4
2023-04-04 16:24:44.316,19392,489,26.4
2023-04-04 16:24:47.081,19395,491,26.4
2023-04-04 16:24:48.336,19395,491,26.4
2023-04-04 16:24:51.298,19397,492,26.4
2023-04-04 16:24:52.351,19398,492,26.4
2023-04-04 16:24:55.098,19400,491,26.4
2023-04-04 16:24:56.373,19401,491,26.4
2023-04-04 16:24:59.123,19403,491,26.4
2023-04-04 16:25:00.401,19403,491,26.4
2023-04-04 16:25:03.069,19405,492,26.4
2023-04-04 16:25:04.425,19406,492,26.4
2023-04-04 16:25:07.092,19408,492,26.4
2023-04-04 16:25:08.439,19409,492,26.4
2023-04-04 16:25:11.101,19411,492,26.4
2023-04-04 16:25:12.456,19411,492,26.4
2023-04-04 16:25:15.112,19413,492,26.4
2023-04-04 16:25:16.463,19413,491,26.4
2023-04-04 16:25:19.158,19415,491,26.4
2023-04-04 16:25:20.480,19415,492,26.4
2023-04-04 16:25:23.274,19416,492,26.4
2023-04-04 16:25:24.494,19417,492,26.3
2023-04-04 16:25:27.141,19421,492,26.4
2023-04-04 16:25:28.511,19419,492,26.4
2023-04-04 16:25:31.154,19421,492,26.4
2023-04-04 16:25:32.518,19421,492,26.4
2023-04-04 16:25:35.203,19424,492,26.4
2023-04-04 16:25:36.535,19425,491,26.4
2023-04-04 16:25:39.204,19426,492,26.4
2023-04-04 16:25:40.541,19426,491,26.4
2023-04-04 16:25:43.191,19428,492,26.4
2023-04-04 16:25:44.555,19428,491,26.4
2023-04-04 16:25:47.164,19430,491,26.4
2023-04-04 16:25:48.581,19431,492,26.4
2023-04-04 16:25:51.169,19433,492,26.4
2023-04-04 16:25:52.599,19432,491,26.4
2023-04-04 16:25:55.184,19434,492,26.4
2023-04-04 16:25:56.618,19435,491,26.4
2023-04-04 16:25:59.202,19437,492,26.4
2023-04-04 16:26:00.639,19437,491,26.4
2023-04-04 16:26:03.257,19439,492,26.4
2023-04-04 16:26:04.653,19438,491,26.4
2023-04-04 16:26:07.293,19441,491,26.4
2023-04-04 16:26:08.665,19441,492,26.4
2023-04-04 16:26:11.254,19443,492,26.4
2023-04-04 16:26:12.670,19443,492,26.4
2023-04-04 16:26:15.369,19446,492,26.4
2023-04-04 16:26:16.687,19446,492,26.4
2023-04-04 16:26:19.209,19448,492,26.4
2023-04-04 16:26:20.704,19447,491,26.4
2023-04-04 16:26:23.256,19449,492,26.4
2023-04-04 16:26:24.726,19450,491,26.4
2023-04-04 16:26:27.274,19451,492,26.4
2023-04-04 16:26:28.738,19452,492,26.4
2023-04-04 16:26:31.260,19453,492,26.4
2023-04-04 16:26:32.760,19454,492,26.4
2023-04-04 16:26:35.300,19456,492,26.4
2023-04-04 16:26:36.782,19456,492,26.4
2023-04-04 16:26:39.303,19458,491,26.4
2023-04-04 16:26:40.798,19458,491,26.4
2023-04-04 16:26:43.294,19460,492,26.4
2023-04-04 16:26:44.819,19460,491,26.4
2023-04-04 16:26:47.330,19462,492,26.4
2023-04-04 16:26:48.846,19462,492,26.4
2023-04-04 16:26:51.289,19464,491,26.4
2023-04-04 16:26:52.868,19465,491,26.4
2023-04-04 16:26:55.361,19467,492,26.4
2023-04-04 16:26:56.884,19466,492,26.4
2023-04-04 16:26:59.304,19468,491,26.4
2023-04-04 16:27:00.896,19468,491,26.4
2023-04-04 16:27:03.390,19470,491,26.4
2023-04-04 16:27:04.924,19471,491,26.4
2023-04-04 16:27:07.292,19472,492,26.4
2023-04-04 16:27:08.928,19472,491,26.4
2023-04-04 16:27:11.343,19473,492,26.4
2023-04-04 16:27:12.952,19474,491,26.4
2023-04-04 16:27:15.333,19476,491,26.4
2023-04-04 16:27:16.959,19476,491,26.4
2023-04-04 16:27:19.341,19477,491,26.4
2023-04-04 16:27:20.983,19478,491,26.4
2023-04-04 16:27:23.410,19479,492,26.4
2023-04-04 16:27:25.000,19480,491,26.4
2023-04-04 16:27:27.383,19482,492,26.4
2023-04-04 16:27:29.001,19482,492,26.4
2023-04-04 16:27:31.450,19483,492,26.4
2023-04-04 16:27:33.009,19484,491,26.4
2023-04-04 16:27:35.407,19485,491,26.4
2023-04-04 16:27:37.014,19485,492,26.4
2023-04-04 16:27:39.408,19487,492,26.4
2023-04-04 16:27:41.029,19487,491,26.4
2023-04-04 16:27:43.437,19489,491,26.4
2023-04-04 16:27:45.044,19489,491,26.3
2023-04-04 16:27:47.433,19490,491,26.4
2023-04-04 16:27:49.056,19491,491,26.4
2023-04-04 16:27:51.397,19492,492,26.4
2023-04-04 16:27:53.066,19493,492,26.3
2023-04-04 16:27:55.473,19494,492,26.4
2023-04-04 16:27:57.071,19495,492,26.4
2023-04-04 16:27:59.454,19496,492,26.3
2023-04-04 16:28:01.094,19496,492,26.3
2023-04-04 16:28:03.469,19498,492,26.4
2023-04-04 16:28:05.103,19498,491,26.3
2023-04-04 16:28:07.438,19499,492,26.4
2023-04-04 16:28:09.129,19500,492,26.4
2023-04-04 16:28:11.565,19502,492,26.3
2023-04-04 16:28:13.141,19501,491,26.3
2023-04-04 16:28:15.481,19503,492,26.4
2023-04-04 16:28:17.157,19503,491,26.3
2023-04-04 16:28:19.502,19505,492,26.4
2023-04-04 16:28:21.167,19505,491,26.4
2023-04-04 16:28:23.490,19507,492,26.4
2023-04-04 16:28:25.189,19507,491,26.3
2023-04-04 16:28:27.505,19509,492,26.4
2023-04-04 16:28:29.211,19509,491,26.4
2023-04-04 16:28:31.495,19512,492,26.4
2023-04-04 16:28:33.221,19510,491,26.3
2023-04-04 16:28:35.597,19511,492,26.4
2023-04-04 16:28:37.237,19512,491,26.3
2023-04-04 16:28:39.493,19514,491,26.4
2023-04-04 16:28:41.252,19514,491,26.4
2023-04-04 16:28:43.663,19516,492,26.4
2023-04-04 16:28:45.264,19516,491,26.3
2023-04-04 16:28:47.513,19516,492,26.4
2023-04-04 16:28:49.281,19517,491,26.3
2023-04-04 16:28:51.533,19519,492,26.4
2023-04-04 16:28:53.303,19518,491,26.3
2023-04-04 16:28:55.525,19520,492,26.4
2023-04-04 16:28:57.315,19520,492,26.3
2023-04-04 16:28:59.551,19524,491,26.3
2023-04-04 16:29:01.333,19522,492,26.4
2023-04-04 16:29:03.556,19527,492,26.4
2023-04-04 16:29:05.352,19524,491,26.3
2023-04-04 16:29:07.538,19524,491,26.4
2023-04-04 16:29:09.365,19525,491,26.3
2023-04-04 16:29:11.563,19526,491,26.3
2023-04-04 16:29:13.380,19526,491,26.3
2023-04-04 16:29:15.553,19528,491,26.3
2023-04-04 16:29:17.390,19528,491,26.3
2023-04-04 16:29:19.570,19530,491,26.2
